time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-29T21:02:23.280Z,-22.2818,-67.3718,179.78,4.4,mb,,71,1,1.25,us,us1000hy2h,2019-02-09T19:02:11.040Z,"110 km NE of San Pedro de Atacama, Chile",earthquake,6.9,9.3,0.127,18,reviewed,us,us
2018-11-28T18:32:36.630Z,-33.6782,-72.2543,10,4.5,mb,,173,0.534,0.63,us,us1000hxjc,2019-02-09T19:02:11.040Z,"60 km W of San Antonio, Chile",earthquake,4.9,1.7,0.163,11,reviewed,us,us
2018-11-27T22:53:09.830Z,-22.5145,-70.5905,26.54,4.2,mwr,,187,0.446,0.86,us,us1000hx8g,2019-02-09T19:02:10.040Z,"61 km SW of Tocopilla, Chile",earthquake,6,6.3,0.057,30,reviewed,us,us
2018-11-27T20:58:09.610Z,-24.0832,-67.1086,264.58,4.3,mb,,76,1.494,0.91,us,us1000hx72,2019-02-09T19:02:10.040Z,"81 km W of San Antonio de los Cobres, Argentina",earthquake,10.4,17.6,0.375,3,reviewed,us,us
2018-11-27T17:22:43.620Z,-19.4184,-69.1604,106.24,4.5,mb,,84,0.25,1.45,us,us1000hx2l,2019-02-09T19:02:10.040Z,"136 km NE of Iquique, Chile",earthquake,5.9,5.1,0.086,40,reviewed,us,us
2018-11-26T14:12:24.370Z,-39.8546,-71.417,159.81,4.6,mb,,64,0.273,0.52,us,us1000hwn6,2019-02-09T19:02:10.040Z,"31 km WNW of Junín de los Andes, Argentina",earthquake,6.4,5.5,0.109,25,reviewed,us,us
2018-11-25T20:31:00.030Z,-22.5406,-68.5076,135.31,4.4,mb,,58,0.509,1.15,us,us1000hwfw,2019-02-02T20:02:30.040Z,"43 km ESE of Calama, Chile",earthquake,8.2,5.8,0.24,5,reviewed,us,us
2018-11-23T22:04:13.530Z,-14.8083,-73.9628,93.25,4.6,mb,,139,3.963,1.27,us,us1000hvz1,2019-02-02T20:02:29.040Z,"4 km WSW of Tambo, Peru",earthquake,8.6,7.6,0.078,49,reviewed,us,us
2018-11-23T18:28:12.700Z,-24.0638,-66.8131,177.3,4.6,mb,,39,1.672,1.03,us,us1000hvx5,2019-02-02T20:02:29.040Z,"53 km WNW of San Antonio de los Cobres, Argentina",earthquake,5.1,5.9,0.046,147,reviewed,us,us
2018-11-23T05:31:04.670Z,-22.2273,-68.7169,121.85,4.5,mb,,53,0.649,1.05,us,us1000hvlj,2019-02-02T20:02:29.040Z,"33 km NE of Calama, Chile",earthquake,6.7,7,0.163,11,reviewed,us,us
